순위,이름,타율,게임수,타석,타수,득점,총안타,1루타,2루타,3루타,홈런,루타,타점,도루,도실 (도루자),희타,희비,볼넷,고의 4구,사구,삼진,병살,장타율,출루율,도루 성공률,멀티 히트,OPS,BB/K,장타/안타
1,하장엽(72),0.519,9,35,27,12,14,8,6,0,0,20,10,10,0,0,0,2,1,6,6,1,0.741,0.629,1.000,5,1.370,0.33,0.429
2,최태룡(0),0.516,10,36,31,11,16,11,3,2,0,23,13,12,0,0,1,3,0,1,3,1,0.742,0.556,1.000,4,1.298,1.00,0.313
3,왕승일(41),0.440,7,31,25,11,11,8,3,0,0,14,6,12,0,0,0,6,0,0,6,0,0.560,0.548,1.000,3,1.108,1.00,0.273
4,백승찬(16),0.389,10,44,36,13,14,14,0,0,0,14,8,14,0,0,1,5,0,2,11,0,0.389,0.477,1.000,5,0.866,0.45,0.000
5,이희성(84),0.387,9,37,31,11,12,10,2,0,0,14,11,15,1,0,0,2,0,4,7,1,0.452,0.486,0.938,4,0.938,0.29,0.167
6,이재욱(8),0.167,7,26,18,5,3,2,1,0,0,4,4,5,0,0,0,5,0,3,3,0,0.222,0.423,1.000,0,0.645,1.67,0.333
순위,이름,타율,경기,타석,타수,득점,총안타,1루타,2루타,3루타,홈런,루타,타점,도루,도실 (도루자),희타,희비,볼넷,고의 4구,사구,삼진,병살,장타율,출루율,도루 성공률,멀티 히트,OPS,BB/K,장타/안타
1,장효림(89),1.000,1,3,2,0,2,2,0,0,0,2,2,1,0,0,0,1,0,0,0,0,1.000,1.000,1.000,1,2.000,0.00,0.000
1,김승환(110),1.000,1,2,1,1,1,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1.000,1.000,1.000,0,2.000,0.00,0.000
1,김병준(112),1.000,1,2,1,1,1,1,0,0,0,1,2,1,0,0,1,0,0,0,0,0,1.000,0.500,1.000,0,1.500,0.00,0.000
1,박정혁(31),1.000,1,2,2,2,2,1,0,0,1,5,2,0,0,0,0,0,0,0,0,0,2.500,1.000,0.000,1,3.500,0.00,0.500
1,정현우(52),1.000,1,1,1,1,1,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,3.000,1.000,1.000,0,4.000,0.00,1.000
1,김선재(24),1.000,1,3,2,2,2,1,1,0,0,3,3,0,0,0,0,1,0,0,0,0,1.500,1.000,0.000,1,2.500,0.00,0.500
2,최우석(60),0.600,5,18,15,9,9,5,2,2,0,15,5,11,0,0,0,2,0,1,0,0,1.000,0.667,1.000,3,1.667,0.00,0.444
3,이재진(46),0.556,2,10,9,3,5,4,1,0,0,6,1,2,0,0,0,1,0,0,1,0,0.667,0.600,1.000,2,1.267,1.00,0.200
4,강법보(20),0.545,4,13,11,6,6,4,2,0,0,8,4,1,0,0,0,1,0,1,0,0,0.727,0.615,1.000,2,1.342,0.00,0.333
5,김배성(90),0.500,2,5,2,1,1,0,1,0,0,2,1,0,0,0,0,2,0,1,1,0,1.000,0.800,0.000,0,1.800,2.00,1.000
5,신희찬(27),0.500,3,5,4,1,2,1,1,0,0,3,0,0,0,0,0,1,0,0,2,0,0.750,0.600,0.000,1,1.350,0.50,0.500
5,이진모(14),0.500,2,4,4,0,2,2,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.500,0.500,0.000,1,1.000,0.00,0.000
6,강지훈(57),0.467,6,20,15,6,7,6,1,0,0,8,6,7,0,0,0,2,0,3,5,0,0.533,0.600,1.000,1,1.133,0.40,0.143
7,예원(56),0.429,3,12,7,4,3,2,1,0,0,4,4,3,0,0,0,5,0,0,1,0,0.571,0.667,1.000,1,1.238,5.00,0.333
8,이상호(81),0.375,3,11,8,2,3,2,1,0,0,4,2,5,0,0,1,2,0,0,2,0,0.500,0.455,1.000,0,0.955,1.00,0.333
9,최호준(83),0.308,10,15,13,2,4,4,0,0,0,4,2,1,0,0,0,2,0,0,1,0,0.308,0.400,1.000,0,0.708,2.00,0.000
10,이주엽(48),0.250,1,4,4,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.250,0.250,0.000,0,0.500,0.00,0.000
11,장재욱(66),0.200,2,8,5,4,1,1,0,0,0,1,0,2,0,0,0,3,0,0,2,0,0.200,0.500,1.000,0,0.700,1.50,0.000
11,홍준영(99),0.200,6,19,10,5,2,2,0,0,0,2,1,1,0,0,0,4,0,5,5,0,0.200,0.579,1.000,0,0.779,0.80,0.000
12,황수현(32),0.143,3,9,7,0,1,0,1,0,0,2,1,0,0,0,0,0,0,2,2,0,0.286,0.333,0.000,0,0.619,0.00,1.000
13,최찬우(80),0.125,6,9,8,3,1,0,1,0,0,2,1,2,0,0,0,1,0,0,6,0,0.250,0.222,1.000,0,0.472,0.17,1.000
14,서상준(71),0.077,5,15,13,0,1,1,0,0,0,1,2,1,0,0,0,2,0,0,8,0,0.077,0.200,1.000,0,0.277,0.25,0.000
15,전승호(33),0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.00,0
15,김재호(73),0.000,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000,0.500,0.000,0,0.500,1.00,0
15,최한원(40),0.000,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0.000,0.500,0.000,0,0.500,1.00,0
15,장지원(1),0.000,3,4,1,2,0,0,0,0,0,0,0,1,0,0,0,1,0,2,1,0,0.000,0.750,1.000,0,0.750,1.00,0
15,허권(87),0.000,1,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0.000,0.400,0.000,0,0.400,0.00,0
15,정진우(53),0.000,2,5,4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,3,0,0.000,0.200,1.000,0,0.200,0.00,0
15,박세준(39),0.000,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0.000,0,0.000,0.00,0
15,고동욱(65),0.000,2,8,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,0.000,0.250,0.000,0,0.250,0.00,0
15,손호진(5),0.000,3,6,5,2,0,0,0,0,0,0,2,4,0,0,0,0,0,1,5,0,0.000,0.167,1.000,0,0.167,0.00,0
15,민경식(6),0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0.000,0,0.000,0.00,0
15,김윤성(68),0.000,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0,0.000,0.00,0
